player_name,position,team,conf,games_played,game_min_%,pts_per_game,field_goal_% ,3_pt_%,Free_throw_%,offensive_rebound_per_game,defensive_ rebound_per_game,AST_per_game,stl_per_game,blk_per_game,offensive_rating,usage,classification,year
Devan Cambridge,Wing G,Auburn,SEC,27,62.7,8.9259,46.5,0.287,0.583,4.5,10.5,5.6,1.9,2.2,96.2,18,Jr,2022
Lior Berman,Combo G,Auburn,SEC,11,2.8,1.1818,50,0.364,1,0,6.9,0,0,0,117.9,15.3,Jr,2022
Dardan Kapiti,C,Florida Atlantic,CUSA,17,16.3,2,54.2,0,0.364,8.8,13.9,10.4,1.9,6.5,80.2,19.1,Jr,2022
Jonathan Nunez,Combo G,FIU,CUSA,20,29.4,2.5,50,0.346,0.75,2.6,8,6.1,2.6,0,93.4,10.4,Jr,2022
Kyle Sturdivant,Combo G,Georgia Tech,ACC,26,29.1,3.4615,48.6,0.364,0.783,0.8,8.6,14,1.1,0.4,99.2,17.3,Jr,2022
Isaiah Mobley,PF/C,USC,P12,32,66.9,9.875,50.6,0.436,0.545,11.1,18,10.7,0.9,3.5,110.5,19.8,Jr,2022
Dearon Tucker,C,Indiana St.,MVC,28,20.9,2.6897,58.1,0,0.806,5.8,15,4.5,1.1,5.8,108.2,14.7,Jr,2022
Julien Franklin,Wing G,Cal Poly,BW,19,8.7,0.85,33.3,0.222,0.75,3.2,10.6,11.3,2.2,0,74.8,11.9,So,2022
Joey Potts,C,Oregon St.,P12,4,0.5,1.2,0,0,0.5,0,16.9,0,0,0,102.9,7.7,Sr,2022
Jarod Lucas,Combo G,Oregon St.,P12,32,73.3,12.7273,49.7,0.389,0.892,1.3,7.8,8.2,1.3,0.1,114.4,19.8,Jr,2022
Roman Silva,C,Oregon St.,P12,30,38.3,5.6129,65.8,0,0.621,9.4,12,5.1,1.1,4.6,110.4,17,Sr,2022
Gianni Hunt,Scoring PG,Oregon St.,P12,31,48.6,5.1935,44.9,0.371,0.808,1.3,8.3,26.6,2.4,0,96.9,18,Jr,2022
Sean Miller-Moore,Wing G,Grand Canyon,WAC,21,38,4,43,0.067,0.5,6.9,12.3,17.4,1.5,1.5,90.1,16.1,Sr,2022
Chico Carter Jr.,Combo G,South Carolina,SEC,24,61.9,12.6538,58.5,0.42,0.848,0.6,6.9,14.9,2.8,0.4,107.1,24.2,Jr,2022
Tyrese Samuel,Stretch 4,Seton Hall,BE,27,42.3,5.3704,61.7,0.325,0.308,8.1,14,6.7,1.3,2.1,108.4,16,Jr,2022
Connor Withers,Stretch 4,UMass Lowell,AE,21,74.3,11.381,52,0.356,0.69,3.4,18.3,10.7,1.8,3.9,100.9,18.9,Jr,2022
Quinn Richey,Combo G,Samford,SC,7,12.8,2,34.6,0.25,0.667,2.3,3.7,1.8,0,0,87.6,7.5,Jr,2022
Aaron Deloney,Combo G,Vermont,AE,12,22.1,1.5833,20,0.133,0.6,4.8,7,16.1,0.4,0,66.5,18.7,Jr,2022
Charles Manning Jr.,Wing G,South Alabama,SB,6,9.4,4.1667,41.4,0,1,6.1,11.2,7.6,1.5,1,95.5,14.5,Sr,2022
Jake van der Heijden,Wing F,Bucknell,Pat,12,32.7,3.3333,51.5,0.364,0.6,3.1,6.1,10.1,1.4,1.2,95.6,15.2,Jr,2022
Daniel Lobach,PF/C,Samford,SC,2,0.1,0,0,0,0,0,0,0,0,0,0,0,So,2022
Alex Timmerman,Stretch 4,Bucknell,Pat,8,11,1.375,40.9,0.25,0.5,6.9,14,6.6,0,1.8,96.7,13.7,Jr,2022
Da'Shawn Phillip,,Maryland Eastern Shore,MEAC,31,54.6,,35.8,0.22,0.667,3.4,12.7,10.3,3.9,4.4,76.3,23.4,So,2022
Kevon Voyles,,Maryland Eastern Shore,MEAC,26,25.3,,38.1,0.197,0.526,3.2,10.4,16.6,4,0.7,77.7,23.9,So,2022
Paul Mulcahy,Wing G,Rutgers,B10,28,67.8,5.8929,57,0.393,0.675,3.7,10,18.2,1.4,1.4,106.7,13.8,Jr,2022
Jovan Blacksher Jr.,Pure PG,Grand Canyon,WAC,21,86.3,12.0417,47.3,0.337,0.804,2.2,10.7,29.4,2.9,0.3,106.6,22.8,Jr,2022
Ethan Spry,PF/C,Grand Canyon,WAC,2,0.2,0.6,0,0,0,0,0,0,0,0,0,0,Jr,2022
Brandon Battle,C,Illinois Chicago,Horz,18,67.6,11.6111,47.6,0,0.541,11.1,20.2,6.6,1.7,1,88.1,26.1,Sr,2022
Terreon Randolph,PF/C,Grambling St.,SWAC,23,59.9,6,50.9,0,0.508,9.9,17.1,6,3.7,3.2,94.2,15.4,Sr,2022
Caleb Hunter,Scoring PG,Mississippi Valley St.,SWAC,24,87,12.3333,42.6,0.319,0.525,3.1,7.9,26.3,1.5,0.6,79.8,25.2,Jr,2022
Jayden Reaves,,Dartmouth,Ivy,6,0.3,,75,0.5,0,0,38.6,0,0,0,128.9,27.3,So,2022
Zahad Munford,Combo G,Grambling St.,SWAC,20,28,3.6667,47.9,0.4,0.778,1.4,9.7,17.6,2.4,0,95.5,16.5,Jr,2022
Tra'Michael Moton,Scoring PG,Grambling St.,SWAC,19,45.7,7,45.9,0.344,0.746,0.8,9,26.5,3,0,100.6,18.7,Jr,2022
Cameron Brown,Wing G,Saint Joseph's,A10,17,56.5,8.6471,50,0.323,0.667,5.3,8.7,5.7,2,0.9,100,16.2,Jr,2022
Hyunjung Lee,Wing G,Davidson,A10,21,75,13.4545,65.5,0.461,0.898,4.6,11.6,16.7,1.2,1.6,126.9,21,Jr,2022
David Kristensen,Pure PG,Davidson,A10,11,5.2,1.3333,50,0.333,1,5.7,2.8,15.5,4.3,5.7,80.5,15.4,Jr,2022
Drew Dibble,Pure PG,Davidson,A10,4,0.7,0.4,0,0,0,0,0,52.6,10.5,0,0,0,Sr,2022
Elijah Pepper,Wing G,UC Davis,BW,17,82.3,14.6667,52.2,0.439,0.85,4.2,15.3,7.1,3.7,0.6,104,21.7,Jr,2022
Aaron Murphy,Wing F,UC Davis,BW,13,10.1,2.0714,58.8,0,0.778,10.3,20.5,6.3,4.9,3.4,111.4,19.4,So,2022
Jackson Harlan,Combo G,Western Kentucky,CUSA,7,1.5,0.7143,50,1,1,0,6.6,0,3.4,0,105.3,13.6,Jr,2022
